symboling,normalized-losses,num-of-doors,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,peak-rpm,city-mpg,highway-mpg,price,class
2,164,4,99.8,176.6,66.2,54.3,2337,4,109,3.19,3.4,10,5500,24,30,13950,102
2,164,4,99.4,176.6,66.4,54.3,2824,5,136,3.19,3.4,8,5500,18,22,17450,115
1,158,4,105.8,192.7,71.4,55.7,2844,5,136,3.19,3.4,8.5,5500,19,25,17710,110
1,158,4,105.8,192.7,71.4,55.9,3086,5,131,3.13,3.4,8.3,5500,17,20,23875,140
2,192,2,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8.8,5800,23,29,16430,101
0,192,4,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8.8,5800,23,29,16925,101
0,188,2,101.2,176.8,64.8,54.3,2710,6,164,3.31,3.19,9,4250,21,28,20970,121
0,188,4,101.2,176.8,64.8,54.3,2765,6,164,3.31,3.19,9,4250,21,28,21105,121
2,121,2,88.4,141.1,60.3,53.2,1488,3,61,2.91,3.03,9.5,5100,47,53,5151,48
1,98,2,94.5,155.9,63.6,52,1874,4,90,3.03,3.11,9.6,5400,38,43,6295,70
0,81,4,94.5,158.8,63.6,52,1909,4,90,3.03,3.11,9.6,5400,38,43,6575,70
1,118,2,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9.41,5500,37,41,5572,68
1,118,2,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9.4,5500,31,38,6377,68
1,118,2,93.7,157.3,63.8,50.8,2128,4,98,3.03,3.39,7.6,5500,24,30,7957,102
1,148,4,93.7,157.3,63.8,50.6,1967,4,90,2.97,3.23,9.4,5500,31,38,6229,68
1,148,4,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,5500,31,38,6692,68
1,148,4,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,5500,31,38,7609,68
-1,110,4,103.3,174.6,64.6,59.8,2535,4,122,3.34,3.46,8.5,5000,24,30,8921,88
3,145,2,95.9,173.2,66.3,50.2,2811,4,156,3.6,3.9,7,5000,19,24,12964,145
2,137,2,86.6,144.6,63.9,50.8,1713,4,92,2.91,3.41,9.6,4800,49,54,6479,58
2,137,2,86.6,144.6,63.9,50.8,1819,4,92,2.91,3.41,9.2,6000,31,38,6855,76
1,101,2,93.7,150,64,52.6,1837,4,79,2.91,3.07,10.1,5500,38,42,5399,60
1,101,2,93.7,150,64,52.6,1940,4,92,2.91,3.41,9.2,6000,30,34,6529,76
1,101,2,93.7,150,64,52.6,1956,4,92,2.91,3.41,9.2,6000,30,34,7129,76
0,110,4,96.5,163.4,64,54.5,2010,4,92,2.91,3.41,9.2,6000,30,34,7295,76
0,78,4,96.5,157.1,63.9,58.3,2024,4,92,2.92,3.41,9.2,6000,30,34,7295,76
0,106,2,96.5,167.5,65.2,53.3,2236,4,110,3.15,3.58,9,5800,27,33,7895,86
0,106,2,96.5,167.5,65.2,53.3,2289,4,110,3.15,3.58,9,5800,27,33,9095,86
0,85,4,96.5,175.4,65.2,54.1,2304,4,110,3.15,3.58,9,5800,27,33,8845,86
0,85,4,96.5,175.4,62.5,54.1,2372,4,110,3.15,3.58,9,5800,27,33,10295,86
0,85,4,96.5,175.4,65.2,54.1,2465,4,110,3.15,3.58,9,5800,24,28,12945,101
1,107,2,96.5,169.1,66,51,2293,4,110,3.15,3.58,9.1,5500,25,31,10345,100
0,145,4,113,199.6,69.6,52.8,4066,6,258,3.63,4.17,8.1,4750,15,19,32250,176
1,104,2,93.1,159.1,64.2,54.1,1890,4,91,3.03,3.15,9,5000,30,31,5195,68
1,104,2,93.1,159.1,64.2,54.1,1900,4,91,3.03,3.15,9,5000,31,38,6095,68
1,104,2,93.1,159.1,64.2,54.1,1905,4,91,3.03,3.15,9,5000,31,38,6795,68
1,113,4,93.1,166.8,64.2,54.1,1945,4,91,3.03,3.15,9,5000,31,38,6695,68
1,113,4,93.1,166.8,64.2,54.1,1950,4,91,3.08,3.15,9,5000,31,38,7395,68
1,129,2,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,4800,26,32,8845,84
0,115,4,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,4800,26,32,8495,84
1,129,2,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,4800,26,32,10595,84
0,115,4,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,4800,26,32,10245,84
0,115,4,98.8,177.8,66.5,55.5,2425,4,122,3.39,3.39,8.6,4800,26,32,11245,84
0,118,4,104.9,175,66.1,54.4,2670,4,140,3.76,3.16,8,5000,19,27,18280,120
-1,93,4,110,190.9,70.3,56.5,3515,5,183,3.58,3.64,21.5,4350,22,25,25552,123
-1,93,4,110,190.9,70.3,58.7,3750,5,183,3.58,3.64,21.5,4350,22,25,28248,123
0,93,2,106.7,187.5,70.3,54.9,3495,5,183,3.58,3.64,21.5,4350,22,25,28176,123
-1,93,4,115.6,202.6,71.7,56.3,3770,5,183,3.58,3.64,21.5,4350,22,25,31600,123
3,142,2,96.6,180.3,70.5,50.8,3685,8,234,3.46,3.1,8.3,4750,16,18,35056,155
2,161,2,93.7,157.3,64.4,50.8,1918,4,92,2.97,3.23,9.4,5500,37,41,5389,68
2,161,2,93.7,157.3,64.4,50.8,1944,4,92,2.97,3.23,9.4,5500,31,38,6189,68
2,161,2,93.7,157.3,64.4,50.8,2004,4,92,2.97,3.23,9.4,5500,31,38,6669,68
1,161,2,93,157.3,63.8,50.8,2145,4,98,3.03,3.39,7.6,5500,24,30,7689,102
3,153,2,96.3,173,65.4,49.4,2370,4,110,3.17,3.46,7.5,5500,23,30,9959,116
3,153,2,96.3,173,65.4,49.4,2328,4,122,3.35,3.46,8.5,5000,25,32,8499,88
1,125,4,96.3,172.4,65.4,51.6,2365,4,122,3.35,3.46,8.5,5000,25,32,6989,88
1,125,4,96.3,172.4,65.4,51.6,2405,4,122,3.35,3.46,8.5,5000,25,32,8189,88
1,125,4,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7.5,5500,23,30,9279,116
-1,137,4,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7.5,5500,23,30,9279,116
1,128,2,94.5,165.3,63.8,54.5,1889,4,97,3.15,3.29,9.4,5200,31,37,5499,69
1,128,2,94.5,165.3,63.8,54.5,2017,4,103,2.99,3.47,21.9,4800,45,50,7099,55
1,128,2,94.5,165.3,63.8,54.5,1918,4,97,3.15,3.29,9.4,5200,31,37,6649,69
1,122,4,94.5,165.3,63.8,54.5,1938,4,97,3.15,3.29,9.4,5200,31,37,6849,69
1,103,4,94.5,170.2,63.8,53.5,2024,4,97,3.15,3.29,9.4,5200,31,37,7349,69
1,128,2,94.5,165.3,63.8,54.5,1951,4,97,3.15,3.29,9.4,5200,31,37,7299,69
1,128,2,94.5,165.6,63.8,53.3,2028,4,97,3.15,3.29,9.4,5200,31,37,7799,69
1,122,4,94.5,165.3,63.8,54.5,1971,4,97,3.15,3.29,9.4,5200,31,37,7499,69
1,103,4,94.5,170.2,63.8,53.5,2037,4,97,3.15,3.29,9.4,5200,31,37,7999,69
2,168,2,95.1,162.4,63.8,53.3,2008,4,97,3.15,3.29,9.4,5200,31,37,8249,69
0,106,4,97.2,173.4,65.2,54.7,2324,4,120,3.33,3.47,8.5,5200,27,34,8949,97
0,106,4,97.2,173.4,65.2,54.7,2302,4,120,3.33,3.47,8.5,5200,27,34,9549,97
