Species,Length1,Length2,Length3,Height,Width,Sex,class
1,29.4,32,37.2,40.2,13.9,1,600
1,30.4,33,38.3,38.8,13.8,1,700
1,31.3,34,39.5,38.3,14.1,1,575
1,31.8,35,40.9,40,14.8,1,725
1,33.5,37,42.6,44.5,15.5,0,1000
1,35,38.5,44.1,40.9,14.3,0,920
1,36.2,39.5,45.3,41.4,14.9,1,925
1,37.4,41,45.9,40.6,14.7,0,975
2,33.7,36.4,39.6,29.7,16.6,0,800
3,19.1,20.8,23.1,26.7,14.7,0,110
3,19.4,21,23.7,25.8,13.9,0,120
3,20.4,22,24.7,23.5,15.2,0,150
3,20.5,22,24.3,27.3,14.6,0,145
3,20.5,22.5,25.3,27.8,15.1,0,160
3,21.1,22.5,25,25.6,15.2,0,160
3,22.1,23.5,26.8,27.6,15.4,0,200
3,25,27,30.6,28,15.6,0,272
4,14.3,15.5,17.4,37.8,13.3,1,60
4,16.3,17.7,19.8,37.4,13.5,1,90
4,17.5,19,21.3,39.4,13.7,1,120
4,19,20.7,23.2,40.5,14.7,0,170
4,19.8,21.5,24.1,40.4,13.1,0,145
4,23,25,28,39.6,14.8,0,273
4,24,26,29,39.2,14.6,0,300
5,9.3,9.8,10.8,16.1,9.7,1,6.7
5,10,10.5,11.6,17,10,0,7.5
5,10.1,10.6,11.6,14.9,9.9,1,7
5,10.4,11,12,18.3,11.5,0,9.7
5,10.7,11.2,12.4,16.8,10.3,1,9.8
5,10.8,11.3,12.6,15.7,10.2,1,8.7
5,11.3,11.8,13.1,16.9,9.8,1,10
5,11.3,11.8,13.1,16.9,8.9,0,9.9
5,11.4,12,13.2,16.7,8.7,0,9.8
5,11.5,12.2,13.4,15.6,10.4,0,12.2
5,11.7,12.4,13.5,18,9.4,0,13.4
5,12.1,13,13.8,16.5,9.1,0,12.2
5,13.2,14.3,15.2,18.9,13.6,0,19.7
5,13.8,15,16.2,18.1,11.6,0,19.9
6,31.7,34,37.8,15.1,11,0,300
6,36,38.5,41,15.6,9.7,1,345
6,43.2,46,48.7,16,10,0,567
6,44.8,48,51.2,15,10.5,0,770
6,56,60,64,15,9.6,0,1550
6,59,63.4,68,15.9,11,0,1650
7,19,21,22.5,25.3,16.3,1,125
7,19.3,21.3,22.8,28,15.5,0,130
7,20,22,23.5,26,14.5,0,120
7,20,22,23.5,23.5,17,0,110
7,20.5,22.5,24,24.4,15.1,0,130
7,20.5,22.5,24,28.3,15.1,0,150
7,23,25,26.5,24.3,13.9,0,180
7,25.2,27.3,28.7,29,17.9,0,300
7,25.4,27.5,28.9,24.8,15,0,260
7,25.4,27.5,28.9,25.2,15.8,0,250
7,26.9,28.7,30.1,25.2,15.4,0,300
7,27.8,30,31.6,24.1,15.1,0,320
7,32.5,35,37.3,30.8,20.9,0,840
7,34,36.5,39,27.9,17.6,0,685
7,34,36,38.3,27.7,17.6,0,700
7,34.5,37,39.4,27.5,15.9,0,700
7,34.6,37,39.3,26.9,16.2,0,690
7,36.5,39,41.4,26.9,18.1,0,900
7,36.9,40,42.3,28.2,16.8,0,850
7,37,40,42.5,27.6,17,0,900
7,37,40,42.4,29.2,17.6,0,1015
7,37.1,40,42.5,26.2,15.6,0,820
7,39,42,44.6,28.7,15.4,0,1100
7,39.8,43,45.2,26.4,16.1,0,1000
7,40.1,43,45.5,27.5,16.3,0,1100
7,40.2,43.5,46,27.4,17.7,1,1000
7,41.1,44,46.6,26.8,16.3,0,1000
