a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50
8.698843480382328908e-01,3.824238455916373347e-01,5.784368583039766198e-01,7.306310728472137361e-01,3.089032390483725798e-01,9.424483036722879348e-01,6.939430698009718679e-01,2.924946292336816356e-02,4.940650897125730134e-01,3.573250019824105728e-01,3.320207665092925753e-01,4.590781539840904646e-01,3.405575377365721579e-02,4.076777687869699296e-01,1.907693407571462441e-01,1.515694298798937467e-01,3.277527493397032199e-01,6.426826047076569237e-01,7.573723220844238435e-01,7.053826114731812646e-01,4.559107508773008188e-01,9.996321383923824078e-01,8.366673350073516868e-02,8.745542588982406773e-01,6.924190319693634965e-02,5.198246006125819552e-01,1.064917865978916023e-01,5.675386371061148516e-01,7.402929150223580557e-02,2.858042347878230194e-01,1.097734619959386260e-01,7.068641168350908721e-02,7.303950212658221197e-01,9.873328666105035678e-01,7.857838472818244879e-01,8.338881720188027202e-01,6.282409821756297363e-01,8.753003696665414557e-01,6.484917168241078889e-01,3.529694324997336707e-01,6.381261673992111305e-01,6.149640671167705408e-01,8.082682287311618863e-01,7.809587998444039725e-01,7.175686115339422466e-01,3.039669413878407500e-01,8.411925525425765215e-01,4.663124982240102190e-01,1.036391411904635795e-02,9.488290034669655260e-01
8.818332684647615105e-01,1.897436111246305623e-01,4.420658418486819174e-01,6.688321376280622621e-01,2.142621790177884344e-01,2.211722126762868390e-01,7.167841151267575484e-01,7.199516523175377714e-01,7.453762047667453761e-01,2.176758705678932815e-01,7.407706960652554740e-01,4.253425881805400488e-01,1.479018079886302850e-01,5.234470669602342419e-01,9.009820354131237163e-01,5.595024529881700293e-01,7.288265935841049536e-01,2.355306567753090441e-02,4.376332900508069779e-01,3.649493548215445582e-01,1.384210248342787608e-01,3.441237002093452402e-01,9.947367956295317670e-01,1.750400356789985068e-01,8.548733340459053753e-01,8.751381062281571310e-01,2.180258078765557883e-01,8.049709435455951745e-01,2.212654536027552910e-01,1.776691843602484777e-01,5.939539517381493550e-01,2.848404389555692084e-01,7.113454063972940444e-01,1.808715928382564897e-02,6.505693192999248975e-01,1.065404939635992143e-01,1.114067499092630253e-01,4.448225090897595102e-03,1.934896456850621060e-02,1.496506970444368978e-01,8.160306958457022031e-01,6.118166462172068831e-01,9.825889195923004360e-01,8.382007674853891865e-01,3.399218836988714409e-01,1.808488544165095524e-01,3.145251638365633706e-01,7.705613816793175364e-01,4.395484425865365807e-01,1.379172053505235418e-01
4.061786239263284193e-01,9.763317130029347535e-01,9.156616310623376664e-01,5.417097658623089007e-01,8.652234575772144165e-02,1.666236652869772517e-01,8.614463335541931999e-01,1.015882191170334181e-01,9.830695532189722696e-01,7.366363675911336006e-01,3.904844484012101047e-01,5.036406687132547466e-01,2.824743406627544529e-01,3.218619517579884848e-01,3.719198117402892079e-01,8.895481282351772601e-01,5.162318066405787720e-01,5.930372738225042628e-02,1.910485686813551132e-01,3.441520304990937085e-01,8.038385534410341648e-02,7.279495185013825642e-01,6.136098601513264583e-01,2.839760771565288389e-01,7.993872072188463740e-01,6.633916328690381281e-01,9.752593991211343516e-01,9.204717540215788807e-01,4.708267904944728466e-01,9.356967384192245163e-01,4.733405006159362438e-01,8.202640157108831431e-01,5.599423777137250147e-01,9.903199951191923311e-01,2.688223400430541643e-01,6.836932968820658152e-01,4.580777916174616493e-03,8.556948469375267319e-01,2.054037955585275022e-02,3.237832734465727613e-01,1.984770556071955294e-01,8.068765232014629696e-01,1.033983701042633374e-01,3.925422464971140002e-02,6.042159801788320461e-01,3.055325977193112941e-02,4.176509411835671592e-03,6.441104777141044568e-01,6.486314080453846609e-01,2.187111768813462254e-01
3.499042273188780472e-01,5.454854575144962858e-02,1.145574256032243499e-01,6.547934778937821720e-01,3.025488893905392551e-01,2.552900747882990151e-01,7.796969620255689293e-01,5.800236876678519504e-01,8.922544801535325920e-01,9.515433441010101578e-02,2.439582516014489055e-01,5.970494062347518893e-01,9.557256785730368076e-01,8.795736709780012097e-01,4.336103216977973407e-01,7.508247632105315983e-01,3.223744804652559637e-01,9.013420097806957854e-01,9.836384335885610675e-01,3.729629256253205183e-01,6.691976287873528939e-01,2.064680119591960628e-01,9.633930046968092187e-01,5.713444687224358276e-01,7.243438307962912770e-02,2.116571622769848338e-01,3.446454633553207580e-01,7.748018861653354072e-01,5.698526733056861193e-01,5.603169070959507225e-01,2.405060842543367272e-01,3.950238410694655311e-01,8.109566414682511937e-02,4.358178601612414660e-01,5.998220650611071347e-01,8.586708525623255595e-01,2.192154587022816514e-01,5.512575376180524067e-01,2.703378651256145293e-01,5.922684598456811056e-01,1.820212427657307286e-01,1.642259300846102832e-01,5.941613839327550828e-01,6.154427332431592346e-01,7.468401551450106757e-01,5.396609077136145238e-01,3.409682691315318870e-02,5.071085247496304182e-01,9.213555837322628950e-02,8.207052293866479165e-01
7.931647085993003277e-01,3.806141111464119708e-01,4.875157515040712264e-01,6.195145161864005212e-01,3.140912568185183495e-02,9.943139693552661695e-01,5.395603992323965148e-01,6.435081985800165105e-01,5.533077470212302007e-01,4.317191773254751563e-01,6.528429553659745865e-01,1.643903916383268049e-01,5.199526604789070916e-01,9.831047430488747407e-01,6.965025795362804750e-01,7.111846766935823183e-01,1.079116809603367644e-01,5.708479471800520511e-01,8.862684416739861071e-01,7.462773994209875861e-01,3.559951169135564530e-01,3.849861355064196911e-01,2.977108021229333268e-01,8.651968139612817854e-01,8.135872917287223505e-02,9.936590840040596673e-01,1.933597585678680231e-01,1.628423461145100948e-02,4.031957124271796644e-01,2.460591486422675223e-01,4.974292827229701563e-01,3.958687890411234367e-01,9.416451094708455649e-01,1.320791049330505285e-02,9.807712712675298317e-02,6.978784735185142862e-01,4.308294010747136804e-01,1.948274377522951628e-02,7.565846782367603440e-01,6.889581639448532080e-01,1.918641813778124705e-01,4.523009883152981914e-01,6.417908076964556896e-01,7.201191220667005899e-01,6.996887861458340740e-01,6.111353807917403458e-01,1.820190721649395105e-02,2.631128589498165082e-01,1.888295618399556952e-01,2.892472114879729439e-01
1.784356394510676624e-01,4.160262927027553737e-01,5.908279198560633105e-01,6.866250237053478367e-01,4.895342770164090584e-01,8.527651112248969545e-01,9.080210258135734680e-02,2.441309164024215717e-01,6.828618667522667884e-02,1.179748596291596563e-02,7.526197612142232485e-01,5.740652838321580465e-02,6.010390479913307882e-01,7.126251258108826647e-01,4.089322869795315452e-01,7.263469480930145883e-01,7.708599576670918108e-01,1.435826939372901734e-01,6.886295708961449602e-01,4.046591203166538531e-02,9.153570035854063924e-01,8.565100587633350804e-01,1.107847461234148234e-01,5.944627802016652085e-01,2.325438795846055395e-01,2.917909590341529746e-01,7.175813336928011932e-01,9.332160711539315701e-01,1.052719516529522226e-01,6.209861758782285746e-01,9.424078416556508353e-01,4.685353335044127876e-01,3.013932781630541680e-01,1.721049778743299896e-01,2.138866424765532015e-01,8.468235994068229466e-01,4.581887394166528349e-01,1.025933963625919043e-01,5.653703150848532477e-02,3.113506618238546242e-01,9.563599784320766517e-01,1.547314802673920298e-01,4.533870523555391108e-01,6.920084889399065187e-01,4.628608900128670101e-01,5.643223511635480083e-01,2.289521085842084469e-01,8.089222693948047160e-01,3.397433688804490926e-01,8.236952119687134255e-01
7.545132222225067187e-01,1.385180398181556916e-01,3.825984730167060199e-01,8.648603705454585011e-01,5.605332812787487962e-01,2.743740344300660272e-02,1.272583963148901098e-01,6.410967809884757784e-01,6.223629846955203160e-01,2.051117743110786318e-02,5.180149232139557025e-01,7.967806848379649365e-01,5.605859705844510321e-01,9.512385040745001685e-01,2.840405594466750561e-01,7.621444629153909522e-01,6.285647022121693128e-01,7.484891645867112198e-01,7.833303315379072096e-01,1.285305880166189851e-01,5.315686510072192839e-01,5.901558846190607666e-01,9.448554394422326030e-01,6.217874499312396885e-01,6.229819360004411610e-01,1.919849321822525434e-01,1.649259926988011493e-01,9.727123734866371940e-01,3.481463508880763280e-01,5.328036007928000917e-01,6.654011659781562393e-01,3.966303273828875042e-02,2.044690917361716709e-01,9.292509203653877004e-01,4.910287518372253857e-01,5.824754394073117236e-01,9.172612641233590658e-03,6.929407724596506890e-01,5.802630269928862328e-01,4.039648664812139911e-01,2.762653073847928242e-01,8.888637157986066795e-01,5.983359179075835588e-01,6.542902867464200911e-01,5.518068368395486756e-01,1.892791301676860494e-01,2.004900904371883508e-01,9.339120488442220758e-01,3.126371733022134114e-01,4.060791938211273377e-01
6.214083240451917511e-01,9.577026717269465639e-01,4.327333831264452702e-01,1.734527080481148564e-01,2.258052387008137041e-01,3.444626404432356015e-01,6.436902724997293213e-01,2.002718133398698752e-01,7.303451696014573447e-02,1.929101247877814673e-01,9.264895975892527558e-01,5.459655407002736993e-01,1.986824434318136268e-01,3.267359981751294384e-01,4.326030634995953195e-01,4.469279260467884374e-02,4.650296458867917426e-01,1.492896698685288737e-01,5.373387130412610180e-01,7.508061225732115540e-01,2.622778751583965118e-01,1.648373238665031826e-01,8.890425609461130030e-01,5.286953421990038260e-01,2.470192860161913861e-01,5.297208314458879963e-01,2.691150591575213191e-01,9.235944753394935702e-01,3.180452665650844724e-01,6.761695653251243998e-01,9.362864819696473662e-01,7.085591610635554316e-01,9.704919348433241888e-01,8.227286587789381933e-01,6.347656403791267499e-01,8.838376864821396728e-01,3.848973475001719047e-01,9.228213917075329675e-01,2.472807952931650455e-01,2.809951526451233139e-01,6.304857517984596704e-02,2.875880859091738406e-01,9.233993126680395402e-01,7.190078112597647619e-01,2.114744333127834830e-01,4.659804893844733398e-01,6.636277081681810630e-01,7.462472769849601839e-01,9.058707025420448256e-01,1.509043816941156857e-01
2.253442728370970149e-01,8.353602143358651588e-02,7.749539551406213755e-01,6.619182142883713871e-01,4.212102160209527657e-01,6.545109415322966084e-01,3.878585432752060802e-01,8.902341592731296549e-01,1.452845972966982924e-01,7.211799497768119904e-01,3.196694127941501762e-02,1.877378639723754628e-01,2.164015779585495292e-01,5.200196966032695212e-01,2.585727211235036016e-01,6.420446202555983861e-01,4.575898307064080184e-01,4.592622435752538035e-01,2.314099018075735925e-01,6.765425520790635527e-02,8.671793002002774475e-01,9.156552686181612666e-01,7.775252578314125751e-01,3.773437879118668459e-01,9.922902923946526066e-01,2.653138417871693244e-01,4.099605684654533677e-01,1.684917591541874593e-01,8.848599237405465612e-01,9.426866884138853653e-01,3.419175493169248625e-01,5.001123407039786972e-02,9.741358710766696571e-01,3.070199953270749127e-01,3.758556430783194235e-01,7.091462384626843196e-01,1.993067613932065774e-01,8.930167674305624637e-01,9.313018616007007200e-02,1.276426057480246623e-01,4.653234250290780860e-01,4.242584912268778652e-01,1.665779350511120693e-02,7.400664543269843687e-01,1.142675150345773272e-02,7.407184454747579583e-01,5.998593293177706398e-01,9.122425125182229699e-01,6.470644915468444225e-01,5.142575429021764011e-01
8.339369206036874038e-01,8.616716440911353914e-01,3.072541498758372125e-01,1.471406593048607547e-01,8.507138724870549895e-01,2.814689399755743171e-02,8.755604236830338838e-01,8.881604564284019121e-01,4.957959087893420991e-01,5.016624906063602563e-01,7.907717344925435654e-01,3.361556047733048613e-01,1.139650413829391695e-01,7.120009173340841047e-01,1.835993370283749426e-01,1.031342771984591344e-01,7.916579316907690345e-01,9.762260250058467648e-01,7.738296230578559642e-01,6.468485242170627370e-01,7.840932705302060546e-01,8.359543864148832881e-02,2.119574431891976252e-01,8.059967933786577055e-01,5.388819640413634593e-01,1.979539526766862512e-01,2.641629083927280464e-01,7.959671555899426876e-01,4.481823287486571550e-01,2.248618954032547412e-01,8.417797892277306682e-01,4.243240654020832281e-01,2.615587275312469817e-01,9.347020161451796705e-01,4.221605086607356228e-01,3.177851122469144141e-02,1.786430711592592591e-01,9.362284358741557178e-01,6.494772457165332025e-02,9.487296838323387993e-01,2.352477753509931713e-01,7.889227871781456791e-02,1.291610247711127979e-02,6.674802113988227426e-01,2.946264249958830961e-01,1.181487542069219465e-01,1.145521819387645968e-01,3.952896772533337488e-01,1.855802063635144661e-01,2.621785950781656549e-01
